	D1124   ,	D110a15 ,	D110a25 ,	D110a35 ,	D113a16 ,	D113a26 ,	D113a56 ,	D114a   ,	D114c   ,	D114d   ,	D115a23 ,	D115c12 ,	D11613  ,	D118eMCe,	D119a   ,	D119b13 ,	D12012  ,	D12022  ,	D17     ,	D1916   ,	D1926   ,	D21c12  ,	D21c22  ,	D21d    ,	D23b    ,	D24a    ,	D24b    ,	D24e    ,	D24h    ,	D25a    ,	D26a55  ,	D26b1   ,	D26b2   ,	D110b12b,	D31a    ,	D31b    ,	D32     ,	D34a    ,	D36a    ,	D36b    ,	D37b    ,	D37c    ,	D41d    ,	D41f1   ,	D41f2   ,	D41f3   ,	D4215   ,	D4235   ,	D43a23  ,	D43a33  ,	D44a44  ,	D45a14  ,	D45a24  ,	D45b26  
	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	2       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	2       ,	4       ,	1       ,	0       ,	1       ,	0       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       
	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	2       ,	4       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       
	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	        ,	        ,	        ,	        ,	        ,	        ,	        ,	        ,	1       ,	0       ,	2       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	6       ,	5       ,	1       ,	1       ,	1       ,	1       ,	6       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       
	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	2       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	3       ,	7       ,	1       ,	0       ,	0       ,	0       ,	6       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	0       ,	1       ,	1       ,	1       ,	1       ,	4       ,	3       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	3       ,	7       ,	1       ,	1       ,	1       ,	1       ,	6       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	4       ,	3       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	3       ,	7       ,	0       ,	1       ,	0       ,	1       ,	5       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	2       ,	7       ,	0       ,	1       ,	1       ,	0       ,	4       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	2       ,	2       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	5       ,	6       ,	0       ,	1       ,	1       ,	0       ,	5       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	3       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	3       ,	0       ,	0       ,	0       ,	1       ,	0       ,	4       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       
	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	3       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	2       ,	5       ,	0       ,	1       ,	1       ,	0       ,	6       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       
	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	6       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       
	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	2       ,	4       ,	1       ,	0       ,	1       ,	0       ,	6       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       
	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	2       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	5       ,	7       ,	0       ,	0       ,	1       ,	0       ,	6       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       
	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	2       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       
	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	4       ,	0       ,	0       ,	0       ,	0       ,	0       ,	3       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       
	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	4       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	2       ,	6       ,	1       ,	1       ,	1       ,	0       ,	5       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       
	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	2       ,	4       ,	0       ,	0       ,	1       ,	0       ,	2       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       
	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	2       ,	4       ,	1       ,	0       ,	0       ,	0       ,	4       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       
	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	3       ,	2       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	2       ,	4       ,	0       ,	0       ,	1       ,	0       ,	4       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       
	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	3       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	6       ,	0       ,	1       ,	1       ,	1       ,	4       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       
	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	2       ,	4       ,	1       ,	1       ,	0       ,	0       ,	2       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       
	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	8       ,	0       ,	1       ,	0       ,	0       ,	4       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       
	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	4       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	4       ,	0       ,	0       ,	1       ,	0       ,	4       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	3       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	3       ,	2       ,	1       ,	1       ,	1       ,	1       ,	4       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       
	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	4       ,	0       ,	0       ,	0       ,	0       ,	4       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       
	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	3       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	4       ,	6       ,	1       ,	1       ,	1       ,	0       ,	5       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       
	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	3       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	3       ,	6       ,	1       ,	0       ,	1       ,	0       ,	2       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	4       ,	0       ,	0       ,	1       ,	1       ,	4       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	3       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	2       ,	6       ,	0       ,	0       ,	1       ,	1       ,	4       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	2       ,	2       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	6       ,	1       ,	1       ,	1       ,	1       ,	5       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	6       ,	0       ,	0       ,	0       ,	1       ,	5       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	2       ,	6       ,	0       ,	0       ,	1       ,	0       ,	4       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	2       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	2       ,	0       ,	0       ,	0       ,	0       ,	0       ,	4       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	4       ,	2       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	6       ,	1       ,	1       ,	1       ,	1       ,	6       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	2       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	2       ,	6       ,	1       ,	0       ,	1       ,	0       ,	6       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	3       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	4       ,	0       ,	1       ,	1       ,	1       ,	5       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       
	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	2       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	2       ,	3       ,	0       ,	0       ,	1       ,	0       ,	2       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       
	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	2       ,	4       ,	0       ,	0       ,	1       ,	0       ,	5       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	4       ,	3       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	6       ,	7       ,	1       ,	1       ,	1       ,	0       ,	3       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       
	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	3       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	6       ,	0       ,	0       ,	1       ,	0       ,	2       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	2       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	0       ,	0       ,	4       ,	0       ,	0       ,	0       ,	1       ,	0       ,	5       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	3       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	2       ,	4       ,	1       ,	0       ,	1       ,	1       ,	6       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	4       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	4       ,	0       ,	0       ,	1       ,	0       ,	4       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       
	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	3       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	4       ,	5       ,	0       ,	1       ,	1       ,	1       ,	4       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       
	1       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	4       ,	0       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	2       ,	6       ,	0       ,	1       ,	0       ,	1       ,	3       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       
	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	2       ,	6       ,	0       ,	0       ,	1       ,	0       ,	5       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       
	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	2       ,	1       ,	1       ,	1       ,	1       ,	0       ,	3       ,	0       ,	1       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	1       ,	0       ,	2       ,	8       ,	1       ,	0       ,	1       ,	0       ,	6       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	0       ,	1       
	1       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	0       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	0       ,	1       ,	1       ,	1       ,	0       ,	3       ,	2       ,	1       ,	0       ,	0       ,	0       ,	1       ,	1       ,	1       ,	1       ,	0       ,	0       ,	1       ,	2       ,	0       ,	0       ,	0       ,	1       ,	0       ,	3       ,	0       ,	0       ,	0       ,	0       ,	1       ,	0       ,	1       ,	1       ,	1       ,	1       ,	1       
